Ridge Points Analysis
Location: 32.960936°N, -107.326779°W
Direction: 90.0°
Generated: 26 points
============================================================

Index,Distance(km),Elevation(m),Bearing(°),ViewAngle(°),Latitude,Longitude
1,9.23,2089,83.0,4.52,32.970951,-107.228565
2,12.24,1728,67.0,1.72,33.003903,-107.205963
3,14.31,1733,100.1,1.49,32.938248,-107.175854
4,20.27,1540,73.9,0.51,33.011229,-107.117902
5,20.68,1526,89.1,0.46,32.963696,-107.105128
6,23.40,1474,103.3,0.28,32.912187,-107.082813
7,47.76,1576,64.0,0.26,33.148147,-106.865537
8,48.11,1567,83.9,0.25,33.005972,-106.813803
9,48.41,1565,84.9,0.24,32.998784,-106.809790
10,27.17,1469,62.6,0.23,33.073057,-107.067834
11,46.73,1514,87.0,0.19,32.982196,-106.826476
12,35.74,1467,60.9,0.17,33.116872,-106.991511
13,30.20,1442,66.2,0.16,33.070060,-107.030153
14,43.17,1476,84.3,0.15,32.998628,-106.866177
15,27.60,1429,96.3,0.14,32.933261,-107.032863
16,42.38,1456,84.9,0.13,32.993947,-106.874107
17,37.98,1438,72.6,0.12,33.062312,-106.937782
18,32.05,1425,69.7,0.12,33.060476,-107.004155
19,34.51,1392,89.4,0.05,32.963478,-106.956908
20,49.50,1393,107.7,0.04,32.824610,-106.822096
21,30.35,1374,118.4,0.03,32.830845,-107.041003
22,43.08,1379,102.3,0.03,32.877638,-106.875994
23,42.04,1375,102.8,0.02,32.876090,-106.887831
24,38.41,1345,106.8,-0.02,32.860204,-106.933171
25,42.83,1343,109.8,-0.02,32.829612,-106.895508
26,3.90,1279,64.0,-1.19,32.976281,-107.289230
